# Z = 79, A = 197 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
K1-L2	5.5936e+06		1.62308e+18
K1-L3	5.76294e+06		1.76987e+18
K1-M2	8.08854e+06		2.38355e+17
K1-M3	8.13233e+06		3.00652e+17
K1-N2	8.96133e+06		8.14947e+16
K1-N3	8.97889e+06		1.07094e+17
K1-O2	9.36484e+06		3.79768e+16
K1-O3	9.37361e+06		5.08258e+16
K1-P2	9.58358e+06		2.08769e+16
K1-P3	9.58858e+06		2.82206e+16
K1-Q2	9.71513e+06		1.2734e+16
K1-Q3	9.71825e+06		1.73196e+16
K1-R2	9.80026e+06		8.34576e+15
K1-R3	9.80233e+06		1.1398e+16
K1-S2	9.85842e+06		5.76629e+15
K1-S3	9.85987e+06		7.89824e+15
K1-T2	9.88011e+06		1.37418e+15
K1-T3	9.88367e+06		4.82057e+15
K1-U2	9.91207e+06		1.01313e+15
K1-U3	9.91474e+06		3.59051e+15
K1-V2	9.93628e+06		7.68977e+14
K1-V3	9.93833e+06		2.74701e+15
K1-W2	9.95506e+06		5.9778e+14
K1-W3	9.95667e+06		2.14902e+15
K1-X2	9.96992e+06		4.74089e+14
K1-X3	9.9712e+06		1.71314e+15
K1-Y2	9.98188e+06		3.82442e+14
K1-Y3	9.98292e+06		1.38784e+15
K1-Z2	9.99164e+06		3.13063e+14
K1-Z3	9.9925e+06		1.14011e+15
K1-[2	9.99972e+06		2.59558e+14
K1-[3	1.00004e+07		9.48095e+14
K1-\2	1.00065e+07		2.17621e+14
K1-\3	1.00071e+07		7.96954e+14
K1-]2	1.00122e+07		-nan
K1-]3	1.00127e+07		6.76349e+14
K1-^2	1.00171e+07		-nan
K1-^3	1.00175e+07		-nan
L1-M2	1.39221e+06		1.49518e+17
L1-M3	1.43599e+06		1.52842e+17
L1-N2	2.265e+06		4.04399e+16
L1-N3	2.28256e+06		4.51334e+16
L1-O2	2.66851e+06		1.76405e+16
L1-O3	2.67728e+06		2.028e+16
L1-P2	2.88725e+06		9.41389e+15
L1-P3	2.89224e+06		1.09875e+16
L1-Q2	3.0188e+06		5.64956e+15
L1-Q3	3.02191e+06		6.65307e+15
L1-R2	3.10393e+06		3.66607e+15
L1-R3	3.106e+06		4.3423e+15
L1-S2	3.16209e+06		2.51645e+15
L1-S3	3.16353e+06		2.99258e+15
L1-T2	3.18378e+06		7.89574e+14
L1-T3	3.18734e+06		1.80724e+15
L1-U2	3.21573e+06		5.79397e+14
L1-U3	3.2184e+06		1.3412e+15
L1-V2	3.23994e+06		4.38233e+14
L1-V3	3.242e+06		1.02332e+15
L1-W2	3.25872e+06		3.39757e+14
L1-W3	3.26033e+06		7.9887e+14
L1-X2	3.27358e+06		2.6889e+14
L1-X3	3.27487e+06		6.35782e+14
L1-Y2	3.28554e+06		2.16546e+14
L1-Y3	3.28659e+06		5.14373e+14
L1-Z2	3.29531e+06		1.77021e+14
L1-Z3	3.29617e+06		4.221e+14
L1-[2	3.30339e+06		1.46602e+14
L1-[3	3.3041e+06		3.50697e+14
L1-\2	3.31014e+06		1.228e+14
L1-\3	3.31075e+06		2.94571e+14
L1-]2	3.31586e+06		-nan
L1-]3	3.31637e+06		2.49836e+14
L1-^2	3.32072e+06		-nan
L1-^3	3.32116e+06		-nan
L2-L1	1.10274e+06		3.81992e+16
L2-M1	2.83431e+06		3.70177e+15
L2-M4	2.47226e+06		4.40767e+17
L2-N1	3.51402e+06		1.36624e+15
L2-N4	3.35615e+06		1.3296e+17
L2-O1	3.8471e+06		6.7753e+14
L2-O4	3.76488e+06		5.90824e+16
L2-P1	4.03423e+06		3.88381e+14
L2-P4	3.98618e+06		3.17092e+16
L2-Q1	4.14953e+06		2.43888e+14
L2-Q4	4.11911e+06		1.90712e+16
L2-R1	4.22546e+06		1.63253e+14
L2-R4	4.20503e+06		1.23867e+16
L2-S1	4.27804e+06		1.14606e+14
L2-S4	4.26368e+06		8.50536e+15
L2-T1	4.28651e+06		9.08747e+14
L2-T4	4.29007e+06		6.17625e+15
L2-U1	4.31847e+06		6.78559e+14
L2-U4	4.32114e+06		4.58963e+15
L2-V1	4.34268e+06		5.20031e+14
L2-V4	4.34473e+06		3.5053e+15
L2-W1	4.36146e+06		4.07301e+14
L2-W4	4.36307e+06		2.73856e+15
L2-X1	4.37632e+06		3.24948e+14
L2-X4	4.37761e+06		2.18079e+15
L2-Y1	4.38828e+06		2.63389e+14
L2-Y4	4.38932e+06		1.76519e+15
L2-Z1	4.39804e+06		2.16453e+14
L2-Z4	4.3989e+06		1.4491e+15
L2-[1	4.40612e+06		1.80041e+14
L2-[4	4.40684e+06		1.20436e+15
L2-\1	4.41288e+06		1.51361e+14
L2-\4	4.41348e+06		1.01188e+15
L2-]1	4.41859e+06		-nan
L2-]4	4.4191e+06		8.58405e+14
L2-^1	4.42346e+06		-nan
L2-^4	4.4239e+06		-nan
L2-_1	4.42764e+06		9.48521e+13
L3-L1	933393		5.13958e+16
L3-M1	2.66497e+06		2.67993e+15
L3-M4	2.30292e+06		7.87991e+16
L3-M5	2.33988e+06		4.89328e+17
L3-N1	3.34467e+06		8.89074e+14
L3-N4	3.18681e+06		2.21568e+16
L3-N5	3.20218e+06		1.48036e+17
L3-O1	3.67776e+06		4.2529e+14
L3-O4	3.59554e+06		9.58487e+15
L3-O5	3.60334e+06		6.59945e+16
L3-P1	3.86488e+06		2.39856e+14
L3-P4	3.81684e+06		5.07429e+15
L3-P5	3.82132e+06		3.55044e+16
L3-Q1	3.98019e+06		1.49312e+14
L3-Q4	3.94977e+06		3.0277e+15
L3-Q5	3.95257e+06		2.13915e+16
L3-R1	4.05612e+06		9.94239e+13
L3-R4	4.03569e+06		1.95658e+15
L3-R5	4.03755e+06		1.39122e+16
L3-S1	4.1087e+06		6.95598e+13
L3-S4	4.09434e+06		1.33893e+15
L3-S5	4.09564e+06		9.5627e+15
L3-T1	4.11717e+06		1.97272e+15
L3-T4	4.12073e+06		9.63423e+14
L3-T5	4.12177e+06		6.95682e+15
L3-U1	4.14913e+06		1.47254e+15
L3-U4	4.15179e+06		7.14582e+14
L3-U5	4.15257e+06		5.17399e+15
L3-V1	4.17334e+06		1.12824e+15
L3-V4	4.17539e+06		5.44982e+14
L3-V5	4.17599e+06		3.95434e+15
L3-W1	4.19212e+06		8.83494e+14
L3-W4	4.19373e+06		4.25304e+14
L3-W5	4.1942e+06		3.09117e+15
L3-X1	4.20698e+06		7.04754e+14
L3-X4	4.20826e+06		3.38386e+14
L3-X5	4.20864e+06		2.46281e+15
L3-Y1	4.21894e+06		5.71176e+14
L3-Y4	4.21998e+06		2.73707e+14
L3-Y5	4.22029e+06		1.99432e+15
L3-Z1	4.2287e+06		4.69346e+14
L3-Z4	4.22956e+06		2.24566e+14
L3-Z5	4.22981e+06		1.63781e+15
L3-[1	4.23678e+06		3.9036e+14
L3-[4	4.2375e+06		1.8655e+14
L3-[5	4.2377e+06		1.36164e+15
L3-\1	4.24354e+06		3.28155e+14
L3-\4	4.24414e+06		1.56674e+14
L3-\5	4.24432e+06		1.14436e+15
L3-]1	4.24925e+06		-nan
L3-]4	4.24976e+06		1.32866e+14
L3-]5	4.24991e+06		9.71043e+14
L3-^1	4.25412e+06		-nan
L3-^4	4.25456e+06		-nan
L3-^5	4.25468e+06		8.31088e+14
L3-_1	4.2583e+06		2.05612e+14
M1-N2	533424		2.8024e+16
M1-N3	550984		2.82167e+16
M1-O2	936932		9.92506e+15
M1-O3	945699		1.06978e+16
M1-P2	1.15567e+06		4.98443e+15
M1-P3	1.16067e+06		5.50247e+15
M1-Q2	1.28722e+06		2.90772e+15
M1-Q3	1.29034e+06		3.25355e+15
M1-R2	1.37235e+06		1.85678e+15
M1-R3	1.37442e+06		2.0949e+15
M1-S2	1.43051e+06		1.26174e+15
M1-S3	1.43196e+06		1.43135e+15
M1-T2	1.4522e+06		4.4097e+14
M1-T3	1.45576e+06		8.66149e+14
M1-U2	1.48416e+06		3.21186e+14
M1-U3	1.48683e+06		6.39564e+14
M1-V2	1.50837e+06		2.4161e+14
M1-V3	1.51042e+06		4.86167e+14
M1-W2	1.52715e+06		1.86546e+14
M1-W3	1.52876e+06		3.78462e+14
M1-X2	1.54201e+06		1.47163e+14
M1-X3	1.54329e+06		3.00536e+14
M1-Y2	1.55397e+06		1.18215e+14
M1-Y3	1.55501e+06		2.42719e+14
M1-Z2	1.56373e+06		9.64403e+13
